candidate,selection_score,mean_target_label_f1,std_target_label_f1,overall_pragmatic_macro_f1,implicit_sentiment,sarcasm,irony,idiom_figurative,code_switching,mocking
cross_alpha_0.6,91.41378722258426,91.71352671204855,1.198957957857137,,66.96971202909879,78.53296962320633,97.52069445348357,96.70381157103404,81.0424983897319,80.48172757475083
cross_alpha_0.4,91.28778898540614,91.69673299141616,1.6357760240400632,,66.28763168575591,78.7452957287099,97.35899971337379,96.83615390212958,80.86624870049938,80.91640628668102
cross_alpha_0.2,91.26542171114512,91.64262454750848,1.5088113454534147,,66.54765969885412,80.08057969271476,97.52069445348357,96.83615390212958,80.57383210723245,81.40262243573244
cross_rank_alpha_0.5,91.10191388995122,91.43943056626767,1.3500667052658237,,66.46233533938253,78.20138909768785,96.78682660109752,96.2426614481409,81.417628476452,80.84291187739463
cross_alpha_0.5,91.01493437285046,91.38757480798249,1.4905617405281244,,67.89988815591946,79.24683465739821,97.52069445348357,96.53787564049301,80.1331662182021,81.00920342748334
cross_rank_alpha_0.4,91.01091786867394,91.34274570346905,1.3273113391804183,,66.85520769535613,78.83188708081845,96.9321295009495,96.2426614481409,80.9087855291509,81.18090856036065
viso3ens,90.98524648796258,91.25684225877973,1.0863830832685686,,65.62596237040079,79.50851114484563,97.35899971337379,97.00218761414368,79.45052490507037,79.87700457466167
cross_alpha_1.0,90.98524648796258,91.25684225877973,1.0863830832685686,,65.62596237040079,79.50851114484563,97.35899971337379,97.00218761414368,79.45052490507037,79.87700457466167
cross_rank_alpha_0.8,90.95842384378206,91.26262803326931,1.216816757948995,,66.9525340470498,78.61085589373114,96.64224664224665,96.22313706235602,80.95963442498095,79.88564149089301
cross_alpha_0.8,90.93991176020647,91.29413587223024,1.4168964480951052,,67.80778145537442,79.0200480845445,97.35899971337379,96.70381157103404,80.05295034998005,79.41516912022017
cross_rank_alpha_0.6,90.91831095248274,91.26414559522973,1.3833385709879746,,67.19269102990033,78.80714077986921,96.64224664224665,96.22313706235602,80.95963442498095,80.39118552828211
incumbent,90.72565121947926,91.08744013466406,1.4471556607392115,,67.94274112611075,79.73183898932152,97.35899971337379,96.83615390212958,79.16351598864075,81.14155427599799
viso3,90.72313328191355,90.96803185631298,0.979594297597732,,67.03601164053478,79.73183898932152,97.35899971337379,96.85261421863001,78.6777136416942,77.53853264724367
pho3,90.71262099250872,91.03089309379455,1.2730884051433025,,63.42362754576495,78.79358008932307,96.73758788122643,97.00218761414368,79.51582867783985,80.34293932130178
cross_rank_alpha_0.2,90.69723023603447,90.93820629385888,0.9639042312976596,,65.47604270109235,80.42433793834233,96.9321295009495,96.2426614481409,79.72222222222223,80.22986702231985
viso2,90.69533179174174,91.08603173538243,1.5627997745628093,,67.94274112611075,79.89266063321206,97.19647129186603,97.00218761414368,79.16351598864075,79.0938413136787
pho1,90.62777191110945,91.11157581517149,1.935215616248189,,66.22177890513032,78.722375356642,97.35899971337379,96.83615390212958,79.24297924297925,79.33545003546416
pho3ens,90.52432498377092,90.80700344948947,1.1307138628742117,,64.7066548474999,79.18252759802056,97.19647129186603,96.70381157103404,78.62785485107622,80.24329558293597
cross_alpha_0.0,90.52432498377092,90.80700344948947,1.1307138628742117,,64.7066548474999,79.18252759802056,97.19647129186603,96.70381157103404,78.62785485107622,80.24329558293597
pho2,90.39272151135242,90.80104287316104,1.6332854472344447,,64.9629516606893,78.95306533569861,97.06331266060009,96.83615390212958,78.69565186719913,79.36005082461631
viso1,90.32569322839288,90.67392851403878,1.3929411425835667,,64.95770080675742,78.72210645471993,97.52069445348357,96.6866284156325,77.84100544553523,78.46735411632415
cross_rank_alpha_1.0,90.31674593772952,90.55593653043033,0.9567623708032356,,66.51497275127817,78.44116185848684,95.6832225360451,96.33276491189467,79.75152225163072,79.74528157127513
cross_rank_alpha_0.0,89.9026932126048,90.19946664527633,1.1870937306860951,,64.7066548474999,78.62187440351211,95.88700007276846,96.33276491189467,78.54185265935324,80.77510322760526
mock3ens,88.66074019671494,88.98560895182537,1.2994750204417311,,64.73379072860948,77.28143605557263,97.35899971337379,96.83615390212958,72.97228814919296,81.14155427599799
