run_id,target,candidate,anchor,median_delta,rescued_FN,introduced_FP,eligible_in_screen,rejection_reason
anchor-arbiter-cycle-v1,irony,conservative_logistic,incumbent,0.0,0,0,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,irony,conservative_gradient_boosted,incumbent,0.013437930321018143,1,1,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,irony,nonnegative_probability_stacker,incumbent,0.0,0,0,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,irony,selective_topk_1,incumbent,-0.4268702124242907,1,4,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,irony,selective_topk_2,incumbent,-1.1462157384481912,1,9,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,irony,selective_topk_3,incumbent,-1.8480822646091752,1,14,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,idiom_figurative,conservative_logistic,pho3ens,-0.14803857690488087,0,1,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,idiom_figurative,conservative_gradient_boosted,pho3ens,0.0,0,0,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,idiom_figurative,nonnegative_probability_stacker,pho3ens,0.0,0,0,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,idiom_figurative,selective_topk_1,pho3ens,-0.42276989080866656,1,4,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,idiom_figurative,selective_topk_2,pho3ens,-0.835034512480064,2,8,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,idiom_figurative,selective_topk_3,pho3ens,-0.935003921038259,4,11,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,code_switching,conservative_logistic,code_screen_anchor,0.10447196027816119,1,1,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,code_switching,conservative_gradient_boosted,code_screen_anchor,0.10112031804804644,2,3,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,code_switching,nonnegative_probability_stacker,code_screen_anchor,-0.1070552538357532,0,1,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,code_switching,selective_topk_1,code_screen_anchor,0.41667951655924185,3,2,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,code_switching,selective_topk_2,code_screen_anchor,0.19886926805972394,4,6,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
anchor-arbiter-cycle-v1,code_switching,selective_topk_3,code_screen_anchor,-0.014175468942980274,5,10,False,"did not meet positive-delta, genuine-disagreement, zero-new-error screen"
